PM10,NO,NO2,O3,PM25
34.203,3.57258,25.72241,16.56431,23.0
52.561,4.50595,24.92303,17.71184,36.0
36.136,3.83006,24.79302,16.56431,24.0
36.136,1.63027,19.53692,19.69091,30.0
43.865,1.84478,20.76354,16.69736,36.0
65.122,1.38358,21.69754,15.11743,48.0
58.358,0.90094,20.34735,15.26711,54.0
54.494,1.44793,18.34198,15.61635,47.0
53.527,2.02711,19.78722,13.67055,35.0
39.034,6.43527,26.05567,11.12603,34.0
36.136,8.5589,27.02856,10.82667,29.0
31.305,12.90271,25.56945,11.37549,26.0
28.406,14.09323,25.20231,14.36904,25.0
31.305,11.68001,28.02755,15.81592,20.0
27.44,10.10337,22.37574,20.85507,18.0
22.609,9.97466,24.08,19.05894,19.0
30.339,10.26425,26.30954,13.37119,27.0
32.271,12.48441,32.23849,7.23441,26.0
37.102,23.32783,38.2645,3.19312,23.0
39.034,19.65973,36.5487,3.59226,27.0
40.001,22.84519,37.78929,4.09119,25.0
35.17,12.58094,33.50017,6.03699,29.0
36.136,10.90777,31.98241,5.68775,29.0
33.237,10.13554,29.95821,5.28861,27.0
25.508,5.69521,24.37102,7.13463,25.0
24.541,4.72992,21.76785,8.58151,24.0
21.643,2.27315,17.7785,11.17592,29.0
21.643,1.50114,20.45331,9.64588,25.0
22.609,2.18738,22.12392,7.63355,24.0
24.541,1.35103,19.95415,9.42968,23.0
25.508,3.6349,24.13451,4.98925,23.0
22.609,2.83072,22.01267,7.68345,18.0
19.71,6.69079,26.35318,5.13893,19.0
18.744,9.68235,28.57325,4.39054,19.0
21.643,18.81786,28.76325,6.43613,21.0
21.643,10.7117,23.20243,14.36904,11.0
17.778,9.81102,21.90925,23.39958,10.0
16.812,7.49498,21.27899,31.18281,10.0
20.677,6.30479,19.70039,36.6211,11.0
17.778,6.52996,23.0504,32.28045,10.0
17.778,5.2111,27.84406,27.24131,12.0
24.541,4.18175,28.98479,21.50367,16.0
29.372,6.9803,38.84269,9.87872,13.0
22.609,6.7873,40.6459,10.82667,15.0
20.677,6.91596,41.42105,12.37334,9.0
25.508,6.52996,40.11667,8.53162,20.0
24.541,4.82509,28.87353,17.11313,22.0
22.609,1.8657,17.41461,25.69464,14.0
20.677,2.54121,17.59438,23.69894,18.0
20.677,2.02654,22.37053,15.26711,14.0
11.981,1.97237,21.42217,23.0836,12.0
16.812,1.32921,16.2481,22.68446,15.0
17.778,0.83611,16.1774,19.85722,20.0
16.812,0.7718,14.96291,20.95485,15.0
