PM10,NO,NO2,O3,PM25
15.459,3.7712,23.89654,37.61895,10.0
18.358,2.66585,21.16558,40.71228,12.0
16.425,2.40577,18.85681,42.75787,9.0
14.493,2.5033,17.61383,42.70798,8.0
14.493,1.72305,12.56199,48.24605,5.0
6.763,0.73782,10.16037,51.95472,5.0
7.73,0.69442,9.32636,51.55558,4.0
8.696,0.94398,9.25544,51.13981,3.0
7.73,0.94398,9.82696,50.29164,5.0
6.763,0.74867,7.84037,53.98369,6.0
9.662,1.04163,9.78113,50.79057,3.0
7.73,5.92429,28.79187,37.96819,1.0
6.763,6.96592,30.41597,37.86841,3.0
12.561,9.2445,35.18315,31.68174,4.0
5.797,25.78042,55.49741,20.15657,6.0
6.763,10.12337,33.05622,36.27185,7.0
17.392,11.19756,30.99351,35.32389,7.0
29.952,21.45113,46.60082,24.597,8.0
15.459,17.51246,38.45616,27.74023,5.0
16.425,9.14684,33.46248,29.98539,6.0
15.459,24.96665,57.68038,14.6185,9.0
14.493,37.629,68.08757,7.78323,11.0
16.425,23.43675,58.77926,11.82452,11.0
19.324,15.29899,52.44905,18.46023,11.0
14.493,7.68205,39.1895,25.9441,10.0
13.527,3.84102,35.93479,28.73808,9.0
18.358,2.9947,26.68548,34.92475,11.0
17.392,3.67827,27.24798,32.6297,10.0
14.493,2.89704,30.8358,29.98539,10.0
16.425,1.43404,22.20189,35.45694,10.0
8.696,2.56388,22.26671,31.73163,8.0
11.594,1.04294,17.53088,37.61895,9.0
8.696,0.81479,12.28166,41.61035,7.0
3.865,0.7822,10.20608,44.35443,7.0
3.865,2.90066,14.37135,39.914,6.0
8.696,8.83236,36.07088,21.70324,5.0
12.561,5.67096,29.77207,29.48647,4.0
12.561,19.2943,52.32757,11.12603,6.0
9.662,36.73087,56.17917,15.21721,5.0
11.594,35.13388,55.30992,16.76388,10.0
13.527,21.2824,40.9325,25.39528,11.0
11.594,12.71077,39.92237,29.63615,10.0
24.155,71.6692,69.74435,8.93076,18.0
22.223,51.07123,62.70451,12.87227,9.0
27.054,92.5279,75.03648,6.23656,20.0
36.716,132.19203,81.04448,6.93506,27.0
29.952,64.75975,70.02195,7.3342,26.0
28.02,102.59874,64.46797,6.33635,26.0
41.547,96.11299,68.91731,8.83097,38.0
38.648,70.36553,63.86316,8.38194,20.0
34.783,40.9678,60.67334,8.08259,27.0
32.851,31.64656,57.59833,7.13463,29.0
29.952,99.40476,58.58203,6.88517,32.0
33.817,30.06533,48.11831,7.118,33.0
18.358,5.65628,43.47114,17.02997,14.0
10.628,7.44019,45.70195,10.42753,12.0
12.561,8.71285,41.21578,6.43613,13.0
19.324,21.47213,43.68888,3.84172,15.0
22.223,25.06169,39.84032,3.89162,18.0
16.425,18.17625,43.25908,4.34065,17.0
17.392,12.49821,39.60178,7.28431,14.0
13.527,6.59175,36.44992,13.07184,9.0
11.594,7.47282,35.77145,20.10668,8.0
19.324,12.26979,33.79615,22.00259,15.0
6.763,18.99206,41.80127,18.85937,13.0
16.425,11.61714,34.58994,28.6383,16.0
17.392,13.18349,40.10294,25.04604,17.0
9.662,6.62438,35.77913,33.52776,9.0
7.73,6.26542,43.31309,26.29335,9.0
13.527,6.78754,45.35768,19.20861,15.0
24.155,10.5729,46.38192,13.77033,24.0
